income,sex,university,hsgrade,grant,dropout
19681.57,male,pisa,83,yes,no
10281.77,female,pisa,100,yes,no
10346.17,male,pisa,98,yes,no
10571.97,male,pisa,90,yes,no
12733.82,female,pisa,67,yes,no
12011.02,female,pisa,67,yes,no
11761,male,pisa,60,yes,no
13683.94,male,pisa,76,yes,no
13270.73,male,pisa,89,yes,no
19679.41,male,pisa,66,yes,yes
13428.09,female,pisa,98,yes,no
11725.48,female,pisa,98,yes,no
14251.34,male,pisa,73,yes,no
12760.52,male,pisa,100,yes,yes
12440.3,male,pisa,100,yes,no
14689.84,female,pisa,87,yes,yes
19844.18,female,pisa,100,yes,yes
10579.27,male,pisa,90,yes,no
15032.35,female,pisa,73,yes,yes
13938.24,female,pisa,86,yes,no
13601.79,female,pisa,79,yes,no
11509.57,female,pisa,68,yes,no
15223.43,male,pisa,60,yes,no
12334.5,female,pisa,70,yes,no
11446.24,male,pisa,82,yes,yes
13615.13,female,pisa,86,yes,no
13296.69,female,pisa,100,yes,no
14174.13,female,pisa,82,yes,no
10395.96,female,pisa,90,yes,yes
14359.04,female,pisa,70,yes,yes
12161.79,female,pisa,94,yes,no
11724.59,female,pisa,72,yes,no
15384.38,female,pisa,90,yes,no
16910.22,female,pisa,96,yes,yes
19463.04,female,pisa,77,yes,no
13260.59,female,pisa,100,yes,no
12216.92,female,pisa,97,yes,no
11427.48,female,pisa,100,yes,no
12185.56,male,pisa,64,yes,no
18481.43,female,pisa,92,yes,no
12022.72,male,pisa,66,yes,no
13254.68,male,pisa,100,yes,no
10142.45,male,pisa,63,yes,no
17041.67,female,pisa,81,yes,no
12254.75,male,pisa,90,yes,yes
12148.74,male,pisa,81,yes,no
13572.72,female,pisa,73,yes,no
14199.19,female,pisa,85,yes,no
19920.61,female,pisa,78,yes,yes
15166.5,female,pisa,70,yes,yes
16978.66,male,pisa,98,yes,no
11612.77,female,pisa,100,yes,no
13410.78,male,pisa,76,yes,no
11475.84,female,pisa,99,yes,no
19231.87,male,pisa,98,yes,no
12234.8,male,pisa,60,yes,yes
19338.33,male,pisa,90,yes,yes
13172.48,male,pisa,100,yes,no
18792.75,male,pisa,100,yes,no
12234.8,male,pisa,75,yes,no
11739.51,female,pisa,100,yes,no
11965.69,female,pisa,92,yes,no
10723.09,female,pisa,69,yes,no
11102.76,male,pisa,70,yes,no
17492.73,female,pisa,100,yes,no
19796.5,female,pisa,60,yes,no
18489.51,female,pisa,75,yes,no
12547.89,female,pisa,84,yes,no
10813.5,male,pisa,79,yes,no
14397.91,female,pisa,67,yes,no
17387.07,female,pisa,85,yes,no
10683.1,female,pisa,85,yes,no
13861.97,female,pisa,82,yes,no
12871.97,female,pisa,77,yes,yes
10667.48,male,pisa,70,yes,yes
10469.07,female,pisa,60,yes,no
13855.41,male,pisa,80,yes,no
18271.43,female,pisa,82,yes,no
14900.49,male,pisa,63,yes,no
15906.49,female,pisa,100,yes,no
12267.95,male,pisa,100,yes,no
12158.82,male,pisa,61,yes,no
15842.62,female,pisa,80,yes,no
10083.73,male,pisa,83,yes,no
12276.42,male,pisa,97,yes,no
14916.22,male,pisa,75,yes,yes
13797.45,female,pisa,72,yes,yes
15785.21,male,pisa,94,yes,no
15183.83,female,pisa,100,yes,no
14931.63,female,pisa,87,yes,no
15935.31,female,pisa,95,yes,no
10846.79,female,pisa,85,yes,no
13244.8,female,pisa,70,yes,no
16088.93,female,pisa,80,yes,no
11216.29,male,pisa,63,yes,no
13216.86,female,pisa,70,yes,no
15934.95,male,pisa,100,yes,no
12694.96,male,pisa,92,yes,no
11244.71,male,pisa,84,yes,yes
10660.78,female,pisa,85,yes,no
12934.27,female,pisa,85,yes,no
12355.65,male,pisa,100,yes,no
13126.39,female,pisa,92,yes,no
11209.12,female,pisa,100,yes,no
18989.22,female,pisa,91,yes,no
16519.31,female,pisa,83,yes,no
15809.61,male,pisa,80,yes,yes
10769.61,male,pisa,60,yes,no
17588.4,male,pisa,70,yes,yes
15580.25,female,pisa,70,yes,no
15212.04,female,pisa,84,yes,no
15823.17,male,pisa,87,yes,no
11832.84,male,pisa,78,yes,no
11370.72,male,pisa,87,yes,no
14041.87,male,pisa,100,yes,no
16493.37,male,pisa,87,yes,no
15155.42,male,pisa,69,yes,no
16661.89,female,pisa,96,yes,no
10148.29,male,pisa,100,yes,no
15033.08,female,pisa,60,yes,no
14339.92,female,pisa,85,yes,no
13473.04,male,pisa,94,yes,no
13405.32,female,pisa,100,yes,no
13261.14,female,pisa,100,yes,no
14891.84,female,pisa,85,yes,no
15636.97,female,pisa,86,yes,yes
19765.37,female,pisa,100,yes,no
10513.9,female,pisa,100,yes,no
13592,female,pisa,92,yes,no
18849.02,male,pisa,80,yes,no
10615.85,female,pisa,96,yes,no
18489.85,female,pisa,100,yes,no
11873.76,male,pisa,84,yes,no
10781.5,female,pisa,100,yes,yes
15092.01,female,pisa,100,yes,no
12974.8,female,pisa,100,yes,no
16656.7,female,pisa,100,yes,no
12392.86,female,pisa,76,yes,no
10308.28,male,pisa,72,yes,no
16973.84,male,pisa,73,yes,yes
14816.49,female,pisa,83,yes,no
18584.9,female,pisa,84,yes,yes
14237.4,male,pisa,78,yes,no
11116.95,female,pisa,85,yes,no
12607.59,female,pisa,100,yes,no
12373.98,female,pisa,100,yes,no
14230.61,female,pisa,82,yes,yes
12577.64,female,pisa,87,yes,yes
17998.37,female,pisa,100,yes,no
12344.87,male,pisa,71,yes,no
13560.26,male,pisa,70,yes,no
16140.65,male,pisa,75,yes,no
16140.65,male,pisa,91,yes,no
13490.48,male,pisa,94,yes,no
17565.38,female,pisa,100,yes,no
12522.63,female,pisa,80,yes,no
18765.47,female,pisa,80,yes,no
13232.45,female,pisa,92,yes,no
12501.3,male,pisa,78,yes,no
11722.76,female,pisa,85,yes,no
16514.77,female,pisa,96,yes,no
13283.46,female,pisa,100,yes,no
12899.94,female,pisa,100,yes,no
11876.41,female,pisa,78,yes,no
19826.05,female,pisa,61,yes,no
13391.73,female,pisa,100,yes,yes
16677.21,female,pisa,95,yes,no
12426.57,male,pisa,100,yes,no
13771.19,male,pisa,63,yes,no
16399.74,female,pisa,94,yes,no
12596.26,female,pisa,85,yes,no
18366.54,female,pisa,64,yes,no
10383.26,female,pisa,72,yes,yes
11830.15,female,pisa,70,yes,no
13645.82,female,pisa,60,yes,no
12191.16,female,pisa,65,yes,no
18471.47,female,pisa,100,yes,no
10674.01,male,pisa,82,yes,yes
14740.92,female,pisa,91,yes,no
12654.27,female,pisa,90,yes,no
13348.3,female,pisa,84,yes,no
15560.5,female,pisa,75,yes,no
16538.01,female,pisa,100,yes,no
19965.07,female,pisa,100,yes,no
17881.1,male,pisa,100,yes,yes
14491.08,female,pisa,100,yes,no
12379.8,female,pisa,100,yes,no
15169.67,female,pisa,100,yes,no
10062.36,female,pisa,95,yes,no
12698.57,female,pisa,80,yes,no
12513.12,female,pisa,80,yes,no
17973.07,male,pisa,75,yes,no
10815.04,female,pisa,78,yes,no
14644.98,male,pisa,62,yes,yes
14469.27,female,pisa,100,yes,no
17166.32,male,pisa,95,yes,no
