Total,esl,nativeAmerican,black,latino,asian,white,female,attendance,povertyRate,temporaryHousing,teachers
78,2,1.3,89.7,9,0,0,48.7,87.3,60,3,7
87,4,0,89.7,9.2,0,1.2,48.3,93.1,60,0,9
914,89,0.9,13.7,74,10.6,0.9,51.2,92.2,83.2,3,68
619,35,0,65.1,33.6,1.1,0.2,48.8,89.8,88.4,14,55
549,56,0.9,20.8,67.4,10.4,0.6,48.6,91,85,5,43
772,66,0.5,62.2,33.7,2.6,1,53.2,90.4,84.7,22,71
245,0,0,13.1,83.7,2.4,0.8,45.7,94.1,81.6,6,25
971,63,0,21.6,69,8.6,0.7,48.9,92.1,88.2,5,75
795,36,0.9,66,30.9,1,1.1,52.4,89.3,95.9,14,64
575,34,0.5,58.1,40.2,0.7,0.5,50.1,91.5,83.8,11,54
925,128,0.6,56.1,24.6,17.7,0.9,47.7,92.5,77.3,8,70
568,15,0.5,79.9,17.8,0.9,0.9,44.5,88.8,69.8,11,48
899,97,1,12.4,74,11.2,1.4,52.1,89.3,83.1,7,63
470,23,1.1,70,28.1,0.2,0.6,48.3,90.4,80.3,6,47
369,7,0,79.1,19.5,0.5,0.8,45.5,88.9,81,1,42
1030,49,0.6,66.8,31.2,0.8,0.7,50.3,89.6,91.1,15,80
499,11,0.2,83.6,15.8,0,0.4,46.7,91.9,81.9,19,43
1068,146,0.6,20.5,38,38.9,2.1,47.8,92.2,84.1,9,82
860,77,0.8,53.3,32.1,12.2,1.6,46.2,87.9,75.2,10,79
870,51,0.3,73,23,2.6,1,49.1,90.3,84,9,70
445,30,0.4,73.9,23.6,0.9,1.1,46.5,87.7,70.9,22,41
502,7,0.4,80.9,17.7,0.6,0.4,49.8,92.2,72.4,19,46
621,80,0.6,25.6,69.2,3.7,0.8,48.3,91.9,77.9,13,57
765,48,0.8,60.9,34.6,2.5,1.2,45.6,90.7,76.2,16,65
1002,77,0.5,33.2,61.4,4.2,0.7,49.2,88.5,95.2,10,85
730,37,0.4,77.4,20.7,0.6,1,47.3,88.6,80.8,10,71
248,6,0.4,75.8,21.4,1.6,0.8,56.4,93.1,74.3,0,20
630,46,0.8,59.8,37.5,0.6,1.3,49,87.3,99.7,8,66
723,50,0.7,48.8,45.5,3.7,1.2,47.3,90.8,93.1,10,64
806,22,0.6,73.7,19,2.8,3.8,49.9,92,69.5,18,66
411,4,0.2,71.3,22.1,2,4.4,51.3,91,62.8,3,31
2537,217,0.2,25.9,63.5,8.2,2.2,47.4,66.3,66.3,18,174
142,1,0,85.9,10.6,1.4,2.1,57.8,96,66.7,0,8
386,14,0.3,80.6,18.4,0.5,0.3,27.7,73,84.7,3,24
385,15,0.8,78.4,19.2,0.8,0.8,49.1,81,69.2,8,23
389,13,1.3,77.9,20,0,0.8,63.5,82.1,67.1,0,27
371,15,0.5,80.3,15.9,2.2,1.1,71.2,81.1,70.9,2,25
1664,14,0.8,69,24.5,4.6,1.1,20.1,86.9,71.6,3,102
1122,50,0.7,69.3,27.4,1.5,1.1,67,70.2,79,5,83
336,30,0.3,2.4,19.9,19.9,57.4,52.4,94.7,55.9,1,22
607,159,0.2,1.3,16.6,54.2,27.7,49.6,95,77.5,1,45
1132,209,0.4,41.3,32.6,18.9,6.8,44.3,92.8,91.2,7,95
814,377,0,0.7,14.4,73.7,11.2,46.9,96.5,83.3,0,62
1148,206,0.5,2.8,26.7,18,52,47.3,94.3,64.4,3,84
1270,168,0,6.5,22.5,16,55,48.2,94.3,46.7,10,77
1296,359,0.1,0.3,8.6,82.8,8.3,50.2,97.1,80.1,0,91
474,95,0,0.2,21.1,47.7,31,53.6,95.6,65.9,0,31
369,71,0,1.4,20.3,18.4,59.9,51.5,93.7,69.8,11,33
777,414,0,2.3,20,67.3,10.4,48.4,96,82.4,10,56
504,119,0,2,23.4,34.3,40.3,43.1,94.7,62.2,4,43
486,105,0.4,1.6,60.3,19.6,18.1,50.6,95.4,86.6,2,58
797,294,0.2,1.2,21.3,35.6,41.5,48.9,95.5,75,1,66
1106,203,0,0.8,18.8,51.6,28.8,51.1,96.1,70.2,5,78
934,307,1.1,7.2,30.4,34.3,27.1,47.6,94.3,84.3,2,64
779,150,0,3,14.9,41.1,41.1,48.4,94.6,56.4,5,62
793,122,0,0.6,13.5,15.8,70.1,46.4,94.6,34.5,8,50
869,243,0.4,0.7,20.9,37.7,40.3,46.1,94.7,63.6,4,68
994,13,0.1,0.9,6.7,60.9,31.4,50.1,97.5,51.5,1,60
488,171,0.8,4.5,49,20.5,25.2,41.4,94,79,0,58
1201,158,0.3,2.7,18.2,31.6,47.2,49.6,94.3,61.5,1,72
1797,113,0.2,1,17.4,42.4,39.1,47.4,94.7,52.5,23,100
976,111,0.2,0.1,11.7,35.4,52.6,48.6,95.4,62.4,5,64
940,217,0.6,1.6,20.5,47.3,29.9,47.2,94.9,76.9,15,84
1267,297,0.3,1.4,52.1,39.5,6.7,48.5,93.8,86.7,7,90
719,240,0.4,11.3,41,27.7,19.6,46,91.6,90.3,4,73
1384,357,0.1,1.7,29.8,47.2,21.2,44.4,93.4,84.7,17,111
600,79,0.2,0.8,10,42.8,46.2,47.8,95.6,40.7,2,36
662,145,0,0.6,11.5,43,44.9,52.9,95.2,68.7,1,49
1337,141,0.4,1.9,29.2,39.7,28.7,45.9,93.8,68.6,5,86
3000,424,0.2,9.3,32.6,24.1,33.7,43.8,87,59.9,8,170
1248,53,0.3,13.2,51.2,17.9,17.3,44.2,89.8,66.5,2,78
4462,410,0.2,6.1,34.8,27.4,31.6,44.8,89.6,19.4,10,208
768,300,0,1.4,80.9,14.2,3.5,49.6,94.8,87.5,8,70
3608,716,0.2,9.4,36.8,35.2,18.4,44.1,83.4,58.1,21,187
742,205,0.3,0.8,77.9,17.8,3.2,46.6,94.4,87.5,13,59
73,5,0,43.8,21.9,24.7,9.6,100,94.4,60,1,6
472,107,0,18.4,56.1,9.3,16.1,55.5,93.7,78.6,4,49
920,190,0.2,8.4,33,27.8,30.5,50.2,93.9,63.8,5,69
1132,168,0.3,16.1,19.2,32.8,31.7,48.1,92.3,68.1,8,89
788,200,0.6,1.3,14.7,52.9,30.5,50.8,95.7,57.6,2,51
1001,15,0.2,15.4,8.4,18.8,57.2,54.4,94.4,34.8,1,54
770,181,0,17.3,21.2,37.4,24.2,50.8,92.2,76.2,7,61
675,115,0,7.1,7.6,4.3,81,48.7,93.4,65.6,2,48
834,183,0,0.7,14.5,59.1,25.7,46.4,95.4,63.9,1,51
255,27,0.8,7.1,37.6,14.1,40.4,48.2,95,66.5,1,27
349,74,0.3,1.7,19.8,31,47.3,46.1,95,66.1,3,28
567,136,0.4,3,19,40.9,36.7,44.6,94.3,75,3,47
891,261,0,1.6,26.9,33.1,38.4,48.3,94.7,71.8,3,59
658,30,0.6,48.8,29.6,9.3,11.7,52.3,90.7,82.4,7,54
490,101,0.4,2.4,17.6,32,47.6,47.1,93.8,65.4,1,42
687,152,0,6.8,18.2,31.9,43.1,48.8,93.7,60.8,5,60
563,70,0.5,20.6,26.1,28.2,24.5,52.8,93.3,66.4,4,48
674,78,0.4,5.8,24.8,24.9,44.1,51,93.9,49.6,1,43
427,69,0,6.8,17.1,19.7,56.4,47.3,93.5,63.7,0,35
956,389,0.1,4.7,27.4,17.7,50.1,45.3,91.3,66.5,7,88
767,187,0.3,2.5,24.2,28.9,44.1,44.6,92.7,73,0,73
980,102,0.1,19.6,20.7,29.9,29.7,44.5,92.3,63,6,69
536,106,0.8,11.4,42.5,15.3,30,48.9,93.4,80.4,1,52
1252,0,0.2,8.1,6,28.2,57.6,51.9,95.4,34.1,0,80
566,167,0,0.7,52.1,37.3,9.9,47.7,95.2,86.1,0,48
1292,164,0.2,13.4,19.4,35.9,31.2,49.3,92.9,67.6,2,97
552,57,1.1,48.9,43.7,1.4,4.9,49.3,88.1,86.8,26,50
782,64,0.1,18.2,24.7,16,41,54.4,92.5,64.1,2,58
651,25,0.2,61.8,22.7,6.1,9.2,49.5,90,75.8,9,63
320,41,0.3,26.9,28.8,11.2,32.8,58.1,84.5,70.4,1,18
257,4,0.4,63,23.4,2.3,10.9,21,86.1,65.2,0,16
811,210,1.2,41.7,22.4,25.9,8.8,49.4,83.6,71.9,1,50
2628,360,0.4,37.9,22.3,15.8,23.7,41.4,83.7,38.7,7,155
165,9,0,21.8,21.2,6.7,50.3,53.9,93.5,63.1,0,12
4020,203,0.2,26.9,15.4,25,32.6,59.5,90.6,28.8,6,204
3216,282,0.2,29.9,20.8,32.9,16.1,52.3,83.8,37.6,11,155
53,6,0,45.3,43.4,0,11.3,54.7,78.2,60,2,7
48,13,0,25,41.7,14.6,18.8,39.6,77,60,1,6
735,61,0.3,63.7,16.6,10.2,9.2,47.8,89.7,81.5,9,66
738,103,0.3,24.2,13.7,7.4,54.3,45.8,92.7,66.3,15,60
1137,40,0.5,69.3,8,3,19.2,48.6,94,51.2,15,83
771,80,0.1,80.3,17.8,1,0.8,53.4,91.5,85.5,82,62
470,44,0.6,76.4,11.7,8.7,2.6,48.3,95.5,64.2,1,36
425,56,0.2,43.5,30.4,13.9,12,52.9,95.3,93.2,3,40
1134,275,0.4,42.9,30.1,18.2,8.4,49,94.7,78.9,11,75
777,82,0.1,70,16.6,8.1,5.2,51.9,93.8,74,13,57
846,108,0.6,53.3,13.7,15.2,17.1,48.2,93.8,62.2,10,64
451,27,0.2,52.8,25.3,15.7,6,49.9,92.3,82.3,2,42
383,41,0,5,1.8,1.8,91.4,44.9,93.6,15.6,0,25
474,91,0.6,25.3,19.8,12,42.2,50.4,94.3,61.4,2,46
684,19,0.7,92.7,5,1.6,0,48.7,94.4,60.5,14,51
935,38,0.1,84.2,9.7,2.2,3.7,50.4,94.6,73.9,13,71
1255,213,0,6,8.7,47.2,38.1,49.3,96,65.9,0,83
985,33,0.7,28,13.1,9.8,48.4,47.1,95.2,39.9,6,68
1189,307,0.2,16.2,23,48.8,11.7,49.7,94.3,78,0,92
864,26,1.3,20.4,12.4,13.8,52.2,49,94.6,44,3,72
1776,133,0.2,18.7,11,27.1,43.1,48.2,94.2,60.8,8,114
618,30,0,24,7,5.5,63.6,50.8,94.8,24.9,1,45
1472,63,0.1,74.4,8.1,13.6,3.8,49.9,94.3,46.6,20,96
183,18,0,81.4,14.8,1.6,2.2,54.6,93.7,55.3,0,14
668,37,0.6,82,10.2,3.9,3.3,54,92.7,74.4,4,52
589,125,0,9.2,10.4,41.4,39,53.8,95.3,63.5,1,44
719,186,0.1,8.5,15.3,22.4,53.7,44.4,94,62.2,2,61
538,59,0.4,90.3,6,2,1.3,51.7,93.9,81.6,9,46
421,11,0.5,5.5,7.1,4.3,82.7,48.9,94.7,39,2,31
1068,44,0.5,55.4,13.5,4.7,25.9,52.7,91.6,57.7,17,79
865,34,0.5,29,8.1,4,58.4,47.5,94.7,37.4,7,64
841,96,0.7,74.4,17.8,3.7,3.3,51.7,93.8,88.5,8,55
227,190,0,37.4,35.7,14.1,12.8,42.7,92.6,94.8,2,16
422,21,0,60.9,15.2,7.6,16.4,50.2,94.3,49.5,0,32
3762,112,0.2,39.6,9.3,27.1,23.8,55,93.2,19,8,181
3828,289,0.1,26.8,14.7,16.1,42.2,45.9,90.1,30.1,5,200
1025,9,0.1,16.7,8.3,12.1,62.8,53.8,93.1,23.3,1,53
762,24,0.8,77.4,20.6,0.4,0.8,49,89.9,87.2,11,62
557,12,0.5,87.8,10,1.1,0.5,48.3,90.4,85.5,22,49
572,45,0.5,73.6,25.7,0,0.2,47.4,85.3,96.7,48,46
630,86,0.2,64.3,34.4,0.6,0.5,48.9,90.3,91.3,18,58
904,28,0.4,82.6,15.7,0.9,0.3,51.2,91.5,91.4,16,60
672,8,0.3,91.1,7.7,0.3,0.6,44.5,90.9,81.6,28,54
653,21,1.1,85.9,11.2,0.8,1.1,47.9,91,85.4,26,47
724,22,0.7,88.4,9.4,1.1,0.4,47,88.7,77.8,19,58
513,17,0.8,78.2,20.5,0.4,0.2,41.7,89.1,86.2,28,44
673,24,0.3,80.5,19.2,0,0,48.7,88.9,76.4,14,57
618,15,0.3,86.6,12.5,0.3,0.3,52.4,88.4,99.2,2,62
538,14,0.2,86.1,13.8,0,0,50.4,91.2,89.8,4,41
777,25,0.1,83.5,14.9,0.6,0.8,52,89.3,87.4,7,53
570,37,0.7,64,34.2,0.4,0.7,49,86.4,77.6,23,43
296,0,1.7,79.4,15.2,3.4,0.3,59.8,95.8,86,2,17
409,2,0.2,87.3,10.8,0.5,1.2,57.2,89.5,67,6,25
258,1,0.4,87.6,9.7,1.6,0.8,51.6,93.2,94.6,2,21
159,4,0.6,85.5,10.7,2.5,0.6,45.9,94.1,69.1,4,14
515,28,0.6,56.9,41.6,0.8,0.2,54,71.1,66.3,5,32
1505,253,0,2.6,53.8,39.9,3.8,48.1,94.9,73.7,3,112
1204,398,0.5,0.4,42.6,48.1,8.4,45.8,96,71.5,4,75
1287,407,0.5,11,44.1,35.5,8.9,50.7,94.8,68.6,6,81
1319,442,0.2,5.9,78.8,10.8,4.3,46,93.9,75.7,13,103
1369,291,0.1,0.7,81.8,15.3,2.1,50,95.9,82.3,2,88
1997,1114,0.1,0.2,90.5,8.1,1,50.1,95,73.5,5,137
497,30,0,1,29.8,16.9,52.3,48.1,95,37.3,1,35
949,131,0.5,1.8,31.7,32.8,33.2,50.4,95.5,50.2,0,68
2054,421,0.1,6.7,80.7,10.8,1.7,47.2,92.7,80.7,10,143
832,180,0.1,3.2,79.1,4.6,13,47.2,92.9,72.3,2,71
964,196,0,1.4,49.9,4.6,44.2,48.3,93.3,56.4,4,75
1676,262,0.1,1.6,60.7,26.1,11.6,47.7,94.4,67.6,4,122
1184,167,0.3,4.7,70.7,8.9,15.4,47,92.4,66.1,4,89
1208,225,0.7,1.4,81.5,8.8,7.6,46.5,94.4,77.3,5,93
617,50,0.8,2.4,37.4,5.7,53.6,45.2,93.5,56.4,0,55
1025,183,0.4,2,51.2,6.7,39.6,47.5,93,57,3,92
1618,665,0.2,0.2,75.1,19.3,5.1,50.6,95,81.4,2,122
863,81,0.5,2.3,43,5.6,48.7,48.8,93.1,52.1,10,78
1326,149,0.4,2.6,68.7,8.1,20.2,46.8,92.9,72.1,7,88
823,196,0.2,1.3,33.4,57,8,47.9,96,67.7,6,61
517,18,0,1.9,29.2,6.6,62.3,45.8,94.4,54,0,37
1108,43,0.2,2.4,33.8,9.8,53.8,49.6,92.2,42.8,0,68
1679,330,0.1,2.6,55.3,35.1,6.9,47.8,95,71.5,8,118
395,11,0.2,1,16.7,5.1,77,49.1,95.2,19.4,0,30
1233,497,0.2,1.9,90.4,5.8,1.9,49,95.3,90.7,1,96
1375,169,0,1.3,47,6.6,45.1,49.2,93.9,43.9,6,82
991,420,0.8,1.2,57.9,27.8,12.3,49.6,94.9,71.2,2,74
1284,164,0,2.9,37.7,31.5,27.9,49.8,94.9,51.3,2,91
792,227,0.2,3.3,78.5,6.9,11,50.2,93.2,82.2,14,62
331,33,0.6,10.6,55.3,16.9,16.6,54.7,92.8,55.9,0,18
330,35,0.3,13,54.8,12.7,19.1,57.3,90.4,68.3,1,20
3400,302,0.2,8.2,64.2,22.7,4.7,43.4,81.3,27.5,8,175
2946,230,0.2,3.8,66.9,6.2,22.8,47,79.2,43.2,7,152
544,75,0.4,11.2,66,9,13.3,48.2,90.1,58.9,1,37
472,352,0,2.8,47.9,35.2,14.2,52.5,93.5,76.3,0,35
769,59,0.1,6.9,85,6.5,1.4,57.2,85.5,62.6,1,49
1176,56,0,13.2,67.2,8.9,10.7,39.1,83.7,34.9,2,85
1981,67,0,7.6,59.8,22.2,10.4,15.4,93.6,61.7,1,123
463,139,0,3.2,48.2,46.4,2.2,47.7,96.9,75,4,32
1280,408,0.2,4.4,27.5,63.8,4,50,95.8,74.6,2,84
897,204,0.1,4.1,29.1,55.3,11.4,47.2,95.5,67.8,1,72
690,244,0.1,2.2,26.4,65.9,5.4,47.7,96.3,71.2,0,52
669,258,0,5.4,18.1,72.4,4.2,45.3,96.3,64.5,6,51
1021,97,0.2,2.4,22.6,45,29.8,49.3,95.2,34.7,6,63
623,174,0,2.9,44.3,33.1,19.7,46.9,94.5,62.5,3,36
560,95,0.2,2,20.4,60.2,17.3,47.1,96,50.4,1,37
839,71,0.4,0.2,13.7,30.2,55.5,47.2,95,26.3,0,56
886,109,0.3,0.9,26.4,47.9,24.5,45.3,95.5,42.5,0,67
788,224,0.4,0.8,19.9,74.8,4.2,49.9,96.3,66.9,0,52
889,174,0.2,2.4,44.3,28,25.1,52.9,94.5,61.8,2,64
612,153,0.2,13.7,20.9,54.9,10.3,50.2,94.8,64,3,42
482,101,0,2.5,14.3,76.8,6.4,48.1,96.3,59,2,37
620,94,0.2,9.7,31,23.9,35.3,51.4,95.3,63.3,2,50
616,96,0,17.9,22.1,40.4,19.6,44.5,94,60.7,0,60
376,36,0.3,3.2,13.3,38.8,44.4,49.7,94.6,20.2,0,27
453,39,0,0.7,15.4,32,51.9,52.8,96.3,23.7,2,30
1009,142,0,4.3,32.9,44,18.8,50.7,93.4,60.6,5,65
752,131,0.3,4.6,30,59.3,5.7,49.2,95.9,70.6,5,51
535,51,0.2,0.8,14,14.8,70.3,46,94.7,18.9,0,39
1073,62,0.2,0.9,22.1,31.2,45.6,48.8,94.9,33.8,1,64
541,32,0.9,19.4,33.1,15.2,31.4,49.2,92.1,68.4,2,50
358,46,0.3,48,29,16.2,6.4,45.5,92.4,78.5,7,40
532,39,0,1.7,11.6,40.2,46.4,45.7,95.9,17.1,0,34
383,59,0,10.4,29.2,49.9,10.4,48.3,95.2,67.5,2,31
610,50,0.5,19.5,32.6,29.5,17.9,48.7,94.1,65.4,2,59
1058,175,0.3,8.1,24,62.1,5.5,43.7,94.6,70.7,5,79
440,35,0.2,22.5,23.2,36.1,18,46.6,92.7,55.7,6,26
242,10,0.4,14,25.6,44.6,15.3,50,95.9,41,0,15
382,339,0,2.1,59.4,38,0.5,47.6,91.8,83.4,0,25
187,25,0.5,3.7,24.6,40.1,31,54,96.3,55.7,0,12
3049,337,0.4,23.9,47.5,23.3,4.8,51.2,80,70.7,175,177
2604,273,0.2,20.2,55.6,19.8,4.2,46.3,83.5,61.7,5,147
476,18,0.6,43.3,17.4,32.6,6.1,48.5,96.8,32.5,1,28
1093,0,0,7.4,11.8,50.8,30,70.8,97.3,25.4,0,55
604,30,0.3,15.7,33.3,21.8,28.8,48.8,89.9,27.7,0,31
505,51,0.4,8.7,15.8,61.8,13.3,50.1,96.5,26.1,0,28
617,50,0.5,10.5,11.2,63,14.8,48.8,95,32.9,1,46
549,102,0.2,8.6,18.8,53,19.5,47.7,96.3,38.4,1,35
427,32,0,2.8,14.3,42.9,40,44.7,95.6,21.2,0,26
403,36,0,7,14.4,58.3,20.4,45.2,96.4,27.7,2,41
946,38,0.2,3.8,8.9,53.1,34,46.9,96.7,15,1,52
1023,56,0.1,7.1,9.7,63.3,19.8,50,96.6,26.5,1,59
432,44,0,2.8,14.4,47.9,35,46.3,95.8,15.1,2,28
260,5,0,2.3,9.2,28.8,59.6,49.6,96.2,9.6,0,15
440,53,0,10,12.3,64.1,13.6,48.4,95.8,30,1,39
501,41,0.4,6.6,19.4,53.9,19.8,43.3,96.2,35.2,1,44
1144,91,0,7.6,13.6,57.9,21,48.6,96.8,33,0,68
522,68,0,1.5,14.6,42.5,41.4,48.3,95.7,26,0,36
732,86,0,2.2,9.2,66.3,22.4,49.9,97.1,29.5,0,42
1084,41,0.4,11.9,15.9,49.7,22.1,48.6,96.2,31.2,3,62
779,72,0,2.2,8.6,64.4,24.8,45.3,96.9,34.6,0,47
440,17,0,9.8,13.4,29.6,47.3,44.1,96.4,25.7,2,32
304,5,0.7,13.2,19.4,37.5,29.3,50,95.5,21.6,0,32
439,17,0,4.1,9.6,53.1,33.3,43.7,97.2,8.6,1,26
349,47,0,4,8.3,68.8,18.9,49,96.4,41,0,19
749,102,0.3,1.7,6.5,71.2,20.3,54.3,97,18.9,0,46
278,14,0,7.2,8.6,46,38.1,46.8,96.7,23.5,1,19
425,50,0.2,5.2,12.2,61.9,20.5,43.3,96.7,26.3,1,37
1250,111,0.2,11.8,12.6,62,13.5,47.8,96.3,43.3,2,70
640,65,0,1.2,8.3,66.4,24.1,51.9,96.7,17.5,1,40
669,10,0.8,10.5,13.8,39,36,48.4,96.2,16.5,0,47
3902,182,0.2,18.1,15.6,46.1,20,52.9,90.5,17.4,3,201
4472,508,0.1,12.1,23.3,48,16.6,50.1,91.3,26.7,9,221
3157,184,0.8,61.1,14.5,20.5,3.2,48.2,85.7,29,11,154
4072,354,0.1,15.4,17.3,48.5,18.7,52.3,90.1,35.1,20,199
1114,21,0.4,40.8,15.5,26.8,16.4,54.7,91.8,27.3,0,69
789,29,1.1,76.3,17.9,2.5,2.2,46.6,88.8,85.7,24,74
1374,37,0.4,68.4,26.4,2.9,1.8,48.4,91.5,79,19,108
417,13,0.5,82.7,10.8,4.6,1.4,48.2,93.4,66.7,8,40
250,3,0.8,8,9.2,2.8,79.2,48.4,93.6,44.6,0,20
645,71,0.5,62.8,33,2,1.7,49,89.4,85.2,20,50
471,75,0.6,9.6,34.8,45.9,9.1,48.4,95.2,66.7,6,32
1127,176,1.1,6.9,68.9,18,5.1,51.1,92.8,64,15,82
976,129,0.3,6,28.7,62.8,2.2,49.9,94.7,67.6,7,69
1280,157,0,7,51.5,31.6,9.9,49.4,93.4,64.1,3,96
691,147,0.3,7,47.8,42.3,2.8,48,93.3,69.6,3,47
565,60,0,8.8,42.3,42.3,6.6,45.3,94.1,67.4,0,44
426,96,0.7,7.5,65,16.4,10.3,50.9,93.7,75.6,1,31
845,188,1.4,9,58.1,28.2,3.3,47.6,93.3,66.6,4,65
271,20,3,44.6,18.1,32.1,2.2,46.5,92.6,73.9,1,23
715,154,0.3,3.2,70.2,22,4.3,45.4,93,86,2,57
1055,84,0.3,8.2,32.5,56.2,2.8,48,93.9,85.6,5,81
619,29,0.6,68.8,25.2,4,1.3,47.3,91.3,78.5,6,56
895,62,0.6,67.4,29.2,1.4,1.4,50.1,90.2,79.5,21,75
413,18,1.4,78.9,11.9,4.1,3.6,50.8,92,78.9,11,37
1296,81,0.5,6.6,30.1,60,2.8,48.8,94.9,59.9,6,88
824,23,0.1,3.5,5.3,2.2,88.8,47.1,94.1,16.5,1,54
612,32,1,73.9,12.6,9.5,3.1,51.5,92.1,77.2,9,52
1142,34,0.4,35.6,20.5,40.8,2.7,52.3,94.5,70.9,5,69
1850,120,0.5,9.7,34,52.3,3.6,49.2,92.1,67,1,122
604,30,0,4.1,25.3,3.8,66.7,44.4,94.2,39,2,48
663,53,0.8,45.4,22.8,30,1.1,51.7,94.3,68.6,3,50
659,31,1.5,66.6,22.9,5.3,3.6,51.8,90.3,81,11,51
479,41,1.2,54.7,40.5,1,2.5,50.9,93,87.7,8,49
1144,75,0.2,10.9,40.6,30.2,18.1,49.6,90.8,50.5,2,83
748,5,0.5,3.7,12.2,4.6,79,50.8,94.4,32,0,62
2021,200,0.2,6.8,60.6,27.3,5.1,47.8,91,63.1,20,133
596,93,1.5,50.8,43.3,2,2.4,45.8,90.9,81,11,49
695,27,1.3,77.7,10.1,9.6,1.3,49.8,93.1,70.5,9,58
630,68,1,42.7,36.8,2.5,17,45.4,87.1,65.6,13,58
1667,50,1.3,49,19.5,28.8,1.4,46.9,90.1,58.3,12,112
795,40,0.4,8.6,38,13.6,39.5,47.3,93.7,46.4,4,57
497,85,1.8,55.9,38.2,1.4,2.6,48.1,91.8,81.9,0,49
593,84,0.7,6.6,62.4,22.3,8.1,47,93.3,71,2,47
344,9,0.9,72.4,18.6,6.4,1.7,52.6,82.5,68.2,11,23
226,20,1.3,15,61.5,17.3,4.9,54,91,70.5,1,15
158,1,0,75.3,18.4,3.2,3.2,56.3,96.4,76.3,1,8
363,0,0.6,81.8,14.9,1.9,0.8,54,94.5,93.3,0,29
1366,57,0.4,80.4,11.6,6,1.6,43.6,81.8,75.8,11,79
1792,68,0.8,53.1,31.8,3.9,10.4,42.6,79.7,65.5,7,115
843,20,0,60,35,3.4,1.5,51.7,76.4,72.7,14,63
3587,331,0.8,14.9,52,28.5,3.8,48.6,79.2,34.4,7,173
3259,83,0.7,28.1,39.3,26.4,5.6,46.3,75.3,66.1,19,180
384,2,0.3,9.6,47.9,27.6,14.6,32.8,94.7,63.8,2,24
907,49,0.6,65.8,18,14.9,0.8,47.6,90.8,61.1,17,77
575,18,0.7,85.6,7.6,1.9,4.2,44.4,93.3,61.5,13,49
522,36,1,76.4,16.5,4,2.1,50.8,89.7,88.8,12,37
352,21,1.1,78.1,12.2,7.1,1.4,51.1,91,72.5,10,28
832,107,1.9,36.3,40.4,16.6,4.8,52.3,93.5,92.1,1,64
542,94,0.9,8.5,47,40.8,2.8,47.2,93.4,75.4,12,43
710,46,0.8,13.4,30.6,52.8,2.4,45.9,93.3,65.8,2,51
742,22,0.5,63.9,14,20.8,0.8,44.9,91.8,64.3,15,60
622,33,0.6,86,7.9,2.2,3.2,47.3,92.7,56.4,8,63
573,134,0,8.4,50.1,39.1,2.4,49,93.7,89.2,8,48
897,203,0.1,18.2,42.5,36.2,3,51.1,94.6,74.3,8,63
752,121,0.4,7.8,36,31.8,23.9,47.9,94.8,60.2,1,49
612,40,0.3,3.4,14.2,34.8,47.2,48,95.1,17.3,4,43
1125,189,0.1,13.9,29.4,40,16.6,49.9,93.7,71.6,0,73
942,30,1.5,24.5,14.2,56.3,3.5,48.9,94.3,77.2,4,71
788,127,0,3.2,26.4,35,35.4,48.1,95.2,49.3,2,48
738,24,0.7,83.9,12.3,1.6,1.5,50,91.7,65.4,7,54
697,34,0.1,7.9,16.1,37.9,38,49.2,94.8,23.9,9,55
763,44,2.9,70.5,14.9,9.2,2.5,49.8,92.9,89.1,5,58
784,90,2.3,10.7,20.2,64.2,2.7,48.8,94.6,84.3,3,63
572,84,0.2,4,20.8,38.6,36.4,47.7,94.8,38,0,41
622,55,0,3,17,15.8,64.2,46.8,95.2,63.2,0,43
703,59,0.1,3.3,13.5,39.1,44,47.8,95.9,14.6,3,39
644,91,0.8,24.2,26.4,21.6,27,45.6,94,60.6,8,52
1213,159,0.6,15.2,43.9,36.3,4,45.1,91.7,69,12,88
471,124,0.2,7,25,26.3,41.4,40.8,94.7,60.4,1,46
162,0,2.5,71,10.5,14.2,1.8,46.9,97.3,51.9,1,8
3641,369,0.4,10.1,29.5,22.6,37.4,49,89.8,21.9,10,186
1787,136,0.7,61.6,17.5,19.1,1.1,48.3,81.4,24.4,12,118
3349,259,0.5,48,22.4,26.8,2.2,58.1,84,32.7,30,177
2724,26,0.4,28.5,25.2,40.2,5.8,32.6,92,33.4,2,139
371,0,0,17,9.2,61.2,12.7,52.6,96.7,24.3,0,26
559,5,0.5,76.9,15.2,5,2.3,52.2,88.3,43.2,2,35
443,7,0.2,93.7,3.6,1.1,1.4,49.9,94.3,62.1,5,31
1083,160,1.4,27.2,27,38.7,5.7,50.3,94.7,58.3,13,75
490,46,0.4,79.2,14.9,4.5,1,45.9,93.1,88.8,20,40
643,68,1.2,46.7,27.1,23.5,1.6,49.9,93.2,60.2,6,47
484,15,0.2,91.3,4.8,1.4,2.3,46.7,92.9,63.4,8,33
558,18,0.5,91.2,6.4,0.7,1.1,48.8,91.5,65.8,19,44
348,11,0.3,89.9,5.2,2.6,2,50.6,94.1,71.8,6,31
607,25,0.3,88,7.1,3.3,1.3,47.9,92.1,73.3,6,47
884,9,0.6,93.1,4.8,1.1,0.4,47,92.9,50.7,17,69
1254,219,0.3,17.6,39.6,38.9,3.6,51,94.8,77,1,86
1470,80,1.3,49.4,19.7,27.8,1.8,49.1,91.5,50.6,8,93
